Subject#,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Word9,Word10
1,paint,kangaroo,capitalism,aspirin,dictionary,law,flower,mercury,mountain,oxygen
2,cup,book,pen,foot,egg,tree,dog,computer,clock,ring
3,pig,girl,programmer,park,music,basketball,dress,sun,river,love
4,water,pencil,ipad,cloth,light,night,pink,spanish,music,tutorial
5,shoes,pencil,racquet,stove,bags,lamp,box,laptop,clock,flower
6,chair,chairperson,spokesperson,president,leader,head,convenor,spokeslady,emcee,speaker
7,Pillow,Concrete,Pencil,Fox,Computer,Glasses,Stomach,Tango,Bamboo,Tattoo
8,Chair,Homogenous,Spell,Liver,Pipeline,Tennis,Hue,Root,Treble,Pin
9,water,earth,computer,pepper,paper,Newton,snow,whiteboard,yogurt,box
10,blue,helicopter,mushroom,diamond,circle,iron,galaxy,language,hate,scallop
11,table,saxophone,potato,corgi,mirror,blanket,stiletto,toy,bidet,road
12,bowl,paper,parachute,jetski,wire,chemist,censorship,death,weight,flour
13,vegan,university,blanket,fireplace,coffin,newspaper,zoology,brain,olympics,gingerbread
14,balloon,shoe,magic,jazz,tissue,water,slapstick,central,fork,retainer
15,food,clothes,view,light,fur,box,seeds,knife,alcohol ,instrument
16,hat,desk,moon,brick,lemon,rabbit,paint,gas,needle,tissue
17,watermelon,philosophy,aglet,molecule,family,harlequin,rebuttal,cement,impostor,knuckle
18,CAT,BOOK,MUG,NAIL,BAG,MOTORBIKE,TRAMPOLINE,HEADPHONES,CANDLE,COMPUTER
19,bag,cube,phone,pillow,sugar,rubberband,cream,shorts,cake,perfume
20,Psychology,Log,Notebook,Tea,Painting,Headphones,Pillow,Luggage,Lava,Coconut
21,space,glasses,paper,animal,hat,humans,table,fire,cold,dead
22,Wine,Rose,Bicycle,Stalagmite,Toenail,Sourdough,Kohl,Aluminium,Hypnosis,Caffeine
23,stone,space,human,water,air,star,tree,animal,earth,fire
24,laptop,frog,galaxy,dictionary,salt,letterbox,banana,toenail,valley,hexagon
25,apple,bin,table,air,paper,hand,tree,metal,lamp,rubber
26,icecube,camel,parliament,bulldozer,plug,honey,thought,fence,lampshade,tree
27,Phone,Pizza,Mountain,Dog,Train,Book,Treadmil,Jumper,Guitar,Sunscreen
28,Computer,Desert,Fountain,King,Stalker,Painting,Plastic,Road,Triton,Platypus
29,ideas,things,thoughts,problems,dreams,goods,shops,books,reasons,tools
30,BOTTLE,LAPTOP,PAPER,FORK,RUBBER,WALLET,MIRROR,FINGER,CURTAIN,PIANO
31,dog,poop,planet,apple,lips,eclipse ,mug,superman,laptop,paino 
32,sadness,broom,toe nail,soil,shallow,nectarine ,shard ,moist,narwhal ,communism 
33,shoe,sun ,chair ,bird ,class ,party ,online ,pen ,cloud ,beach 
34,biscuit,car,biology,laptop,tablet,book,chairs,pen,bottle,water
35,Table,Skates,Keyboard,Needle,Water,Ball,Lotion,Titanium,Guitar,Lab
36,Table ,Doctor ,Fence,Laptop,Scarf,Cow ,Sleep ,Shoe ,Journal ,Eyes
37,Cat,Pizza,Phone,Duvet,Hinges,Blades,Water,Theory,Demand,Dark
38,Shoes,Pet,Equipment,Hip hop,Cup,Dinosaur ,Jewellery ,Depression,Development,Word
39,book,television,shoe,mobile phone,baskeball,body builder,hometown,mother,Christmas,holiday
40,shoes,books,detention,bags,pencils,pens,boards,music player,woods,laptop
41,Pedantry,Armadillo,Responsibility,Furniture,Tether,Electron,Lifeboat,Obfuscation,Greenness,Seasoning
42,cat,dog,apple,pear,orange ,kiwi,banana,pink,yellow,green
43,cat,toy,food,shirt,plane,house,pencil,glasses,picture,movie
44,apple,pen,container,electricity ,steel ,number ,clothes ,door,lipstick ,visa 
45,music,art,science,commerce,building,sky,grass,computer,hotel,novel
46,chair,head,alley,deadline,puppet,powerpoint,carbon,church,flower,prison
47,paper,food,family,earphones,pins,friends,album,music,sunset,camera
48,cup,bed,book,shoe,spring,spoon,moon,plane,motherhood,glass
49,Pillow,Cat,Car,Flame,Bread,Toothbrush,Brick,Wall,Sweater,Stairs
50,bottle,photograph,ring,airplane,eyeball,hotel,bacteria,comet,lava,mango
51,milk,toy,women,country,money,room,plastic,bone,ash,star
52,Sky,Fish,Rice,Name,Wall,Plate,Gun,Weather,Mountain ,Cloth
53,water,shoe,sky,computer,bag,hair,ring,light,car,farm
54,trees,materials,animals,buildings,vegetables,cars,planets,books,tools,inventions
55,pen,road,bottle,computer,country,poster,gun,lipstick,knife,plane
56,chair,school,earphone,cat,dog,sleep,food,hamburger,korea,music
57,High heels ,Light,Computer ,Pen,Air,School,Criminal,Children,Piano,Policemen 
58,bank,fruit,foot,bag,chopsticks,book,hanger,fireworks,star,computer
59,subject,number,words,clothes,adjective,felling,size,sports,playing,height
60,Cat,Dishwasher,Sock,Wood,Jeans,Leaf,String,Toothpaste,Fire,Nail
61,shirt,cat,apple,desk,wall,sky,flower,book,chromosome,confidence
62,shoes,food,eyes,tree,light,space,knowledge,bed,kiss,sponge
63,Foot,Glue,Cat,Virus,Mountain,War,Violet,Democracy,Football,Gravity
64,pen,nail,chair,weather,psychology,physicist,dream cather,soap,opera,university
65,Boat,Country,Board,Sheet,Tissue,Planet,Key,Colour,Glass,Program
66,Cat,Homework,Building,Dirt,Shorts,Eyeliner,Ball,Airplane,Pear,Dishwasher
67,happiness,sadness,face ,nose ,toe,book,shelf,tree,sky,star
68,sun,table,children,rabbit,red,computer,cup,fire,highlighter,happy
69,man,pen,room,fruit,shoe,city,fish,lecture,biology,website
70,father,sky,star,earth,ground,line,data,passport,tiger,good
71,blankets,abstract,knife,basketball,donkey,taco,river,see-saw,foot,television
72,cat,watch,drink bottle,phone,bag,chair,book,leggings,rings,lipbalm
73,Orange,Candy,People,Wood,Underwear,Furniture,Sock,Cable,Nest,Eyeball
74,study,life,friends,family,world,freedom,love,dog,cup,phone
75,pen,apple,mouse,cloud,grass,car,paper,dog,water,fire
76,lion,computer,hair,toner,wall,pool,bus,trainer,gym,pillow
77,apple,cup,dogs,umbrella,buildings,confidence,show,clips,sofa,tears
78,sun,phone,book,hair ,water,air,job,bank,map,guitar
79,RABBIT,socks,homework,turner,lipstick,summer,politician,myself,laptop,pizza
80,burger,rabbit,harm,clouds,male,tree,chair,fanatic,statement ,severity
81,shoe,hair,apple,kitchen,orchestra,girl,lightbulb,crystal,walls,atmosphere
82,apple ,diswasher,shoes,conception,belief,basketball player,riligion,king,zone,monkey
83,apple,wallet,headphone,tissue,melbourne uni,indian food,fibre,coat hanger,shoes,tram
84,Physics,apple,wood,heart,fairies,death,sound,mile,jeans,sadness
85,Shoe,Keys,Clothes,Pencil case,Bottle,Phone,glasses,papers,photo frame,files
86,pizza,pillow,train,germ,hair,earth,air,electricity,handbag,pigment
87,water,pencil,cat,cello,ribbon,mountain,ghost,maze,neuron,book
88,Pillow,Car,Medicine ,Chopsticks ,Lighter,Compuet,Desk,Glasses,Handcream,Tissue
89,bread,candy,cake,fish,grass,flower,toy ,pen,shoe,hand
90,Gum,Headphone,Paper,Cat,Hair,Smile,Drinks,Gun,Garbage ,Bennies
91,white,dog,school,wind,knive,grandmother,jeans,metal,moon,witch
92,Rulers,Papers,Rubbers,Pens,Pencils,Book,Pens,Pins,Laptop,Keyboard
93,apple,planet,mole,song,button,driller,thumb,symbol,board,wool
94,history,eye,founder,poster,window,bed,theatre,hammer,tree,food
95,orange,sandal,chair,bag,lego,laptop,planet,nitrogen,tutorial,plushie
96,elephants,banana,sky,shooting,crabs,children,soundtrack,football,handclap,television
97,Atom,Concept,Cloud,Homosapian,Botany,Pharmacy,Child,Thing,Hope,Meaning
98,umbrella ,fountain ,spring ,July ,river ,colour ,wonderland ,fiction ,tennis ,confidence 
99,apple,phone,cup,paper,ear,chair,stair,cloth,window,street
100,universe,elevater,dumpling,tree,ash,battery,child,eye,wind,webpage
101,tree,stapler,photo,hairdryer,scarf,door,wand,boat,potato,eye
102,happy,fly,computer,finger,mirror ,bottle ,cake,mouse,rainbow ,paper
103,horse,cup,earphone,English Teacher,table,sweater,family,phenomena,Japan,Textbook
104,dog,book,sun,car,water,magic,wood,air,bread,sadness
105,animals,foods,clothes ,rooms,job,habits,ability,light,happiness,school
106,apple,car,sky,computer,body,hate,tip,element,carpet,alarm
107,dog,chair,alcohol,clothes ,dvd,phone ,grass,weights ,milk ,book
108,chair,country,ant,chandelier,song,element,bread,hair,phone,grass
109,Love,Computer,Venus,Mole,Witch,Seaweed,Dentist,Tablet,Cloud,Truffle
110,cow,ice ,foot,child ,jacket,donut,rainbow,blue,fan,phone
111,Psychology ,Pen,Ear,Flower,Chair,Glasses,Ice,Beef,Bag,Key
112,fork,spoon,town,village,grass,tree,spork,knife,human,train
113,Tree,Phone,Bed,Pickle ,Hat,Ant ,Seismograph ,Helium ,Treasure ,Marimba 
114,book,shoe,animal ,boy,text,web,computer,pen,coffee,cup
115,Television,Mouse,Candle,Backpack,Sandwich,Teapot,Bouncy-ball,Bathtub,Astrology,Lava
116,computer,family,chips,balcony,hair,fullstop,apple,history,zoo,well
117,shoe,potato,rhythm,human,leukemia,nose,flowe,orc,dog,thread
118,purple,bag,table,sky,shampoo,shoes,dog,stairs,spinach ,Spain 
119,Car,Cow,Blanket,Chair,Pen,Fingers,Heart,Lightbulb,Night,Weather
120,virtue,index,stapler,criminology,overalls,precipice ,crunch,purebreed ,belief,divinity
121,Apple,Orange,Chapstick,Handphone,Bottle,Vase,Television,Chair,Table,Monkey
122,house,animals,female,apple,water,sun,teacher,river,,
123,water,sky,duck,pen,clothes,class,house,umbrella,china,dirt
124,coffee,weed,basketball,drums,games,family,journey,fire,water,oxygen
125,trap,bird,orange,abacus,hairclip,snorkel,stove,photocopier,podiatrist,questionnaire
126,Love,Table,Uranium,Peptide,Quartz,Avtur,Zebra,Limbo,Hearken,Speed
127,shoe,table,glasses,pencilcase,pencil,charger,mouse,book,phone,internet
128,shoe,food,nail,mirror,book,store,cat,lamp,phone,tree
129,shoe,nail,unicorn,bread,book,telephone,plant,sand,wallet,person
130,dream,mouse,computer,map,bulb,niddle,cigarette,stone,car,closet
131,house ,ocean ,chair ,phone ,book,lecture ,ruler ,cash ,umbrella ,shoe
132,young,old,loud,quiet,big,small,round ,square,up ,down
133,happiness,chair,wallet,pool,chicken,tower,tv,truck,farm,apartment
134,universe,shoe,bird,school,building,waterfall,red,square,TV,air
135,lip-balm,calculator,alligator,crayon,cactus,friendship,eyelash,tunnel,keyring,eggnog
136,Red,Cold,Love,Me,Basket,Head,Towel,Teacher,Bag,Wet
137,university,candle,dog,book,car,door,bicycle,fork,projector,microphone
138,facsimile,elderflower,stockings,spatula,hairbrush,salmon,paperclip,exam,brick,coin
139,record,faeces,eyeball,fibreglass,lavender,gin,myki,breadcrumbs,horoscope,splinter
140,car,charger,head,brick,food,diamond,lily,app,village,forest 
141,hoodie ,chocolate ,bottle ,computer ,book ,pillow ,hanger ,fridge ,balcony ,hospital 
